Reference_residue_cont -3.25237e-05
Reference_residue_mom 0.000318024
-0.00421373 0.008496 -0.0801245
-0.0129433 0.0133918 -0.0748364
-0.0179056 0.0161472 -0.0708263
-0.0208399 0.0178168 -0.067682
-0.0225936 0.0188188 -0.0651753
-0.0236465 0.0194639 -0.063144
-0.0243174 0.0199311 -0.0614628
-0.0247929 0.020264 -0.0600337
-0.0251562 0.0203701 -0.0587852
-0.0253549 0.0200007 -0.0576597
-0.0246611 0.0184728 -0.0565321
-0.0242039 0.0157264 -0.0557517
-0.0252002 0.0129137 -0.0552742
-0.0272923 0.0103369 -0.0548831
-0.0300481 0.00802745 -0.0545603
-0.0340028 0.00620112 -0.0543047
-0.0384819 0.00510857 -0.0538463
-0.0423006 0.0043714 -0.0533404
-0.0456864 0.00383309 -0.0527529
-0.0487076 0.0034247 -0.0520826
-0.0514071 0.00309313 -0.0513362
-0.0538268 0.0028062 -0.0505158
-0.0559929 0.00254652 -0.0496241
-0.0579232 0.00230377 -0.0486629
-0.0596296 0.00207157 -0.0476341
-0.06112 0.00184584 -0.0465392
-0.0623996 0.00162385 -0.0453802
-0.0634712 0.00140437 -0.0441582
-0.0643363 0.00118538 -0.0428755
-0.0649959 0.00096572 -0.0415341
-0.0654499 0.000744628 -0.0401361
-0.065698 0.000522063 -0.038684
-0.0657395 0.000297689 -0.0371804
-0.0655735 7.10322e-05 -0.0356276
-0.0651988 -0.000158067 -0.0340286
-0.0646148 -0.000389795 -0.0323864
-0.063821 -0.000623563 -0.0307046
-0.0628169 -0.000858962 -0.0289866
-0.0616027 -0.00109548 -0.0272364
-0.0601791 -0.00133247 -0.025458
-0.0585474 -0.00156918 -0.0236558
-0.0567097 -0.0018047 -0.0218343
-0.0546688 -0.00203798 -0.0199982
-0.0524284 -0.00226766 -0.0181523
-0.0499916 -0.00249262 -0.0163013
-0.0473629 -0.00271185 -0.0144507
-0.0445513 -0.00292418 -0.0126063
-0.0415655 -0.0031284 -0.0107728
-0.0384138 -0.00332328 -0.00895577
-0.0351057 -0.0035077 -0.00716022
-0.0316514 -0.00368071 -0.00539133
-0.028062 -0.00384156 -0.00365392
-0.024349 -0.00398911 -0.0019527
-0.0205246 -0.00412255 -0.000292144
