Reference_residue_cont -4.32931e-05
Reference_residue_mom 0.000300734
-0.0123161 -0.00667196 0.0161177
-0.00445675 -0.00575241 0.0177178
0.00356318 -0.00478514 0.0191686
0.0116815 -0.00376333 0.0204538
0.0198831 -0.00270967 0.021572
0.0280889 -0.00161197 0.0225072
0.0363124 -0.000499535 0.0232661
0.0444386 0.000648048 0.0238306
0.0525433 0.00179491 0.0242198
0.0604055 0.0029566 0.0244063
0.0681583 0.00405465 0.024445
0.0757115 0.00518119 0.0242838
0.0833228 0.00629507 0.0239567
0.0905549 0.00743638 0.0234164
0.0978364 0.00850833 0.0227465
0.104575 0.0096019 0.0218603
0.111542 0.0106073 0.0208761
0.11774 0.0116445 0.0196591
0.124476 0.012581 0.0183885
0.130054 0.0135431 0.0168524
0.136767 0.0143891 0.0153261
0.141591 0.0152574 0.0134735
0.148714 0.0160307 0.0117245
0.152532 0.0167351 0.0095103
0.160968 0.017464 0.00758821
0.163041 0.0176379 0.00490034
0.174825 0.0181387 0.00298257
0.257656 -0.000149856 -0.0175865
0.258435 -0.000494255 -0.019135
0.259581 -0.000395614 -0.0208491
0.260056 -0.000241029 -0.022378
0.260479 -0.00020774 -0.023916
0.260801 -0.000201261 -0.0254678
0.261194 -0.000210976 -0.0270259
0.261514 -0.000216143 -0.028603
0.261956 -0.000236859 -0.0301881
0.262311 -0.000247725 -0.0317958
0.26283 -0.00027791 -0.0334117
0.263241 -0.000297921 -0.0350555
0.26388 -0.000341288 -0.0367092
0.264377 -0.000369917 -0.0383992
0.265182 -0.000428053 -0.0401013
0.265793 -0.000469469 -0.0418509
0.266833 -0.000548315 -0.0436154
0.267595 -0.000607633 -0.0454437
0.268968 -0.000713769 -0.0472903
0.269921 -0.00080118 -0.0492248
0.271782 -0.000945531 -0.0511806
0.272967 -0.00108233 -0.053262
0.275583 -0.00128257 -0.0553658
0.277021 -0.00152483 -0.0576591
0.280929 -0.00182272 -0.0599683
0.282582 -0.00236619 -0.0625898
0.289092 -0.00294995 -0.0651959
0.290587 -0.00482271 -0.0683099
0.303424 -0.00751395 -0.0709715
0.29061 -0.0176028 -0.0737066
0.240293 -0.0264717 -0.0734107
0.162173 -0.0275199 -0.0694085
0.0739849 -0.0129357 -0.0636503
0.0152276 0.00531662 -0.0577535
-0.01011 0.0129279 -0.0537045
-0.018 0.0157936 -0.0514813
-0.021244 0.0170464 -0.0497902
-0.0217289 0.0169177 -0.0486743
-0.0214561 0.0165334 -0.0478213
-0.0207224 0.0159482 -0.0471955
-0.0199537 0.0154269 -0.0467012
-0.0192295 0.0149466 -0.0463066
-0.0186105 0.0144569 -0.0459727
-0.0179694 0.0137657 -0.045677
-0.0172976 0.0127578 -0.0454308
-0.0159797 0.0110917 -0.045169
-0.0147677 0.0088493 -0.0450253
-0.0146968 0.00692309 -0.0449588
-0.0154358 0.00534054 -0.0449185
-0.0166383 0.0040873 -0.0448972
-0.0187633 0.00320122 -0.0449119
-0.0213144 0.00273733 -0.0448685
-0.0235373 0.00243935 -0.0448445
-0.02567 0.00224744 -0.0447991
-0.0276507 0.00211738 -0.0447474
-0.0295484 0.00202196 -0.0446837
-0.0313637 0.00194698 -0.0446106
-0.0331155 0.00188413 -0.0445272
-0.0348091 0.00182917 -0.0444341
-0.0364513 0.00177947 -0.0443312
-0.0380459 0.00173344 -0.0442185
-0.0395962 0.00169015 -0.044096
-0.0411044 0.00164895 -0.0439639
-0.0425728 0.00160969 -0.0438221
-0.0440034 0.00157237 -0.0436707
-0.0453985 0.00153749 -0.0435098
-0.0467608 0.00150558 -0.0433394
-0.0480937 0.00147778 -0.0431597
-0.0494013 0.00145502 -0.0429706
-0.0506888 0.00143891 -0.0427724
-0.0519623 0.00143048 -0.0425651
-0.0532288 0.0014314 -0.0423486
-0.0544959 0.00144194 -0.0421229
-0.0557711 0.00146285 -0.0418879
-0.0570612 0.00149223 -0.0416431
-0.0583709 0.00152832 -0.0413883
-0.0597014 0.00156461 -0.0411225
-0.0610482 0.00159398 -0.0408454
-0.0623997 0.0016012 -0.0405556
-0.0637306 0.00156984 -0.0402522
-0.0650068 0.00146755 -0.0399343
-0.0661656 0.00126448 -0.0396005
-0.067154 0.000887301 -0.0392557
-0.0678038 0.000291895 -0.038884
-0.0683404 -0.00074828 -0.0385667
-0.0677569 -0.00194085 -0.0380576
-0.0690998 -0.00418284 -0.0380411
-0.0740691 -0.00474299 -0.0375783
-0.0769022 -0.00563766 -0.0373311
-0.0806252 -0.00620476 -0.036908
-0.0836717 -0.00676661 -0.0364863
-0.0868525 -0.00729084 -0.0359831
-0.0897736 -0.00779213 -0.0354333
-0.0926112 -0.00828893 -0.0348144
-0.0952536 -0.00877664 -0.034132
-0.097729 -0.00926458 -0.033377
-0.0999874 -0.00974963 -0.032548
-0.102017 -0.0102348 -0.0316392
-0.10378 -0.0107175 -0.0306474
-0.105251 -0.0111974 -0.0295683
-0.106397 -0.0116714 -0.0283986
-0.107187 -0.0121367 -0.0271352
-0.107589 -0.0125894 -0.0257757
-0.107574 -0.013025 -0.0243186
-0.107111 -0.0134383 -0.0227634
-0.106175 -0.0138242 -0.0211105
-0.104741 -0.0141762 -0.019362
-0.102788 -0.0144881 -0.0175208
-0.100299 -0.014753 -0.0155919
-0.0972611 -0.0149647 -0.0135815
-0.0936649 -0.0151162 -0.0114976
-0.0895059 -0.015202 -0.00934969
-0.0847844 -0.015215 -0.00714924
-0.0795054 -0.0151503 -0.00490884
-0.0736778 -0.0150006 -0.00264283
-0.0673128 -0.0147584 -0.000365717
-0.0604354 -0.0144181 0.00190428
-0.0530791 -0.0139834 0.00414967
-0.0452789 -0.0134488 0.00635198
-0.0370657 -0.0128189 0.00849451
-0.0284827 -0.0120907 0.010558
-0.019565 -0.0112732 0.012527
-0.0103651 -0.0103595 0.014383
-0.000914563 -0.00936513 0.0161149
