Reference_residue_cont 1e-30
Reference_residue_mom 0.00019802
0.00193638 -0.00195171 0.027568
0.00217092 -0.00160239 0.0275302
0.00225395 -0.00113706 0.027484
0.00215896 -0.00058703 0.0274304
0.0018655 2.20469e-05 0.02737
0.00135787 0.000670256 0.0273035
0.000624023 0.00134319 0.0272314
-0.0003455 0.00203149 0.0271541
-0.00155852 0.0027302 0.0270716
-0.00302208 0.00343803 0.0269839
-0.00474297 0.00415644 0.0268908
-0.00672821 0.00488875 0.026792
-0.00898519 0.00563917 0.026687
-0.0115214 0.00641207 0.0265755
-0.0143445 0.0072111 0.0264569
-0.0174614 0.00803847 0.0263306
-0.0208783 0.00889445 0.0261964
-0.0245993 0.00977718 0.0260536
-0.0286265 0.0106826 0.0259021
-0.0329581 0.0116046 0.0257417
-0.037589 0.0125348 0.0255724
-0.0425095 0.013463 0.0253942
-0.0477046 0.0143768 0.0252075
-0.0531551 0.0152615 0.0250122
-0.058837 0.0161024 0.0248093
-0.0647205 0.016884 0.0245998
-0.0707697 0.0175891 0.0243856
-0.0769439 0.0182017 0.0241685
-0.0831995 0.0187073 0.0239501
-0.0894902 0.0190911 0.0237325
-0.0957645 0.0193403 0.0235195
-0.10197 0.0194407 0.0233135
-0.108053 0.0193811 0.023118
-0.11396 0.0191525 0.0229365
-0.119641 0.0187491 0.0227721
-0.125044 0.0181655 0.0226291
-0.130121 0.0173994 0.0225113
-0.134826 0.0164516 0.0224223
-0.139113 0.0153235 0.022368
-0.142941 0.0140131 0.0223517
-0.146281 0.0125361 0.0223727
-0.149106 0.0109104 0.022434
-0.151385 0.00914119 0.0225381
-0.153095 0.00724092 0.0226861
-0.154218 0.00522391 0.0228781
-0.154742 0.00310683 0.0231133
-0.154654 0.000907895 0.0233902
-0.15395 -0.00135321 0.023706
-0.152628 -0.00365553 0.024057
-0.150689 -0.00597675 0.0244386
-0.148142 -0.0082933 0.0248454
-0.144997 -0.0105807 0.0252708
-0.141268 -0.0128131 0.025708
-0.136974 -0.0149658 0.0261499
-0.132139 -0.0170124 0.0265878
-0.126795 -0.0189248 0.0270132
-0.120976 -0.0206762 0.0274175
-0.114721 -0.0222404 0.0277928
-0.108075 -0.0235931 0.0281314
-0.101089 -0.0247115 0.0284265
-0.0938173 -0.0255755 0.028672
-0.0863197 -0.0261683 0.0288636
